counter,status,resp_time
808,Good,35.714
809,Good,32.98
810,Good,33.182
811,Good,36.299
812,Good,33.056
813,Good,33.726
814,Good,35.843
815,Good,34.125
816,Good,34.531
817,Good,35.277
818,Good,34.657
819,Good,33.972
820,Good,33.450
821,Good,32.824
822,Good,35.326
823,Good,34.246
824,Good,33.214
825,Good,34.123
826,Good,36.226
827,Good,34.413
828,Good,34.763
829,Good,32.777
830,Good,34.606
831,Good,34.737
832,Good,35.956
833,Good,33.084
834,Good,33.164
835,Good,33.789
836,Good,32.814
837,Good,34.920
838,Good,35.351
839,Good,34.587
840,Good,33.233
841,Good,34.614
842,Good,35.253
843,Good,35.781
844,Good,37.734
845,Good,33.394
846,Good,34.511
847,Good,34.128
848,Good,35.088
849,Good,35.296
850,Good,34.652
851,Good,33.517
852,Good,33.104
853,Good,33.877
854,Good,33.743
855,Good,34.506
856,Good,34.527
857,Good,34.538
858,Good,34.763
859,Good,33.724
860,Good,35.862
861,Good,34.313
862,Good,35.051
863,Good,33.821
864,Good,33.032
865,Good,33.606
866,Good,35.180
867,Good,34.827
868,Good,33.597
869,Good,34.207
870,Good,33.019
871,Good,34.429
872,Good,33.448
873,Good,34.221
874,Good,35.563
875,Good,34.115
876,Good,35.257
877,Good,33.981
878,Good,33.664
879,Good,33.712
880,Good,33.733
881,Good,33.520
882,Good,33.800
883,Good,33.565
884,Good,35.146
885,Good,34.108
886,Good,33.823
887,Good,34.628
888,Good,33.467
889,Good,33.203
890,Good,33.803
891,Good,34.090
892,Good,35.334
893,Good,34.115
894,Good,32.762
895,Good,33.698
896,Good,33.242
897,Good,36.323
898,Good,32.618
899,Good,33.056
900,Good,33.900
901,Good,34.114
902,Good,35.236
903,Good,33.441
904,Good,34.499
905,Good,33.915
906,Good,34.293
907,Good,34.889
908,Good,33.525
909,Good,35.049
910,Good,34.987
911,Good,32.778
912,Good,34.813
913,Good,35.454
914,Good,33.405
915,Good,34.892
916,Good,35.035
917,Good,33.757
918,Good,34.424
919,Good,33.653
920,Good,33.506
921,Good,33.528
922,Good,35.581
923,Good,35.407
924,Good,37.367
925,Good,33.242
926,Good,35.008
927,Good,33.612
928,Good,33.362
929,Good,33.878
930,Good,34.415
931,Good,34.557
932,Good,32.820
933,Good,34.925
934,Good,33.889
935,Good,33.097
936,Good,33.572
937,Good,33.589
938,Good,33.622
939,Good,33.961
940,Good,34.471
941,Good,38.247
942,Good,33.394
